cc,gov,AS spread,IPv4 anycast,IPv6 anycast,IPv4s,IPv6s,speed_index,ttfb,num_objects,sz_objects,num_js_objects,servers,origins,is_https,is_IPv6,3rd_cookies,3rd_cookie_domains,security_protocol_TLS 1.2,security_protocol_TLS 1.3,security_protocol_none,http_protocol_h2,http_protocol_http/1.1
CA,0,1.4210526315789473,0.9473684210526315,0.6842105263157895,5.0,3.736842105263158,7081.8421052631575,308.0,230.31578947368422,4243083.052631579,48.8421052631579,40.31578947368421,40.31578947368421,1.0,0.3684210526315789,7.105263157894737,1.368421052631579,0.0,1.0,0.0,1.0,0.0
CA,1,2.1666666666666665,0.7222222222222222,0.6666666666666666,5.222222222222222,1.8333333333333333,4913.222222222223,143.16666666666666,43.833333333333336,1811898.2222222222,14.166666666666666,6.888888888888889,7.111111111111111,0.9444444444444444,0.16666666666666666,2.111111111111111,0.6111111111111112,0.4444444444444444,0.5,0.05555555555555555,0.5,0.5
US,0,1.4166666666666667,1.0,0.75,5.75,4.5,8070.166666666667,318.9166666666667,374.75,5004589.583333333,71.91666666666667,79.66666666666667,79.66666666666667,1.0,0.3333333333333333,5.916666666666667,1.0833333333333333,0.25,0.75,0.0,1.0,0.0
US,1,1.375,0.5625,0.5,4.5625,3.1875,5111.0,199.0625,77.125,2871392.3125,23.8125,11.5,11.5,1.0,0.625,0.375,0.1875,0.0625,0.9375,0.0,0.9375,0.0625
